"sample_name","sample_title","organism","strain","age","sex","tissue","collection_date","Dataset","Run","Sample","Replicate","GMCode","TZCode","Locus","Abbreviation","ChimpNumber","Alive","title","library_ID","design_description","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","filetype","filename","filename2","Filename","SRR"
"170721_M00281_0248_000000000-BBWCL_Pooled-A-GM2_S2_L001","Dataset_1-GM_1662-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170721_M00281_0248_000000000-BBWCL","2",,1662,,"A","Ch-121",121,"","Dataset_1-GM_1662-Locus_A","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM2_S2_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM2_S2_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM2_S2_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-A-GM2_S2_L001_R1_001.fastq.gz","SRR6741569"
"170710_M00281_0242_000000000-BBC66_Rep1-B-GM2_S14_L001","Dataset_1-GM_1662-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170710_M00281_0242_000000000-BBC66","2",1,1662,,"B","Ch-121",121,"","Dataset_1-GM_1662-Locus_B","170710_M00281_0242_000000000-BBC66_Rep1-B-GM2_S14_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-B-GM2_S14_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-B-GM2_S14_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-B-GM2_S14_L001_R1_001.fastq.gz","SRR6741819"
"170712_M00281_0243_000000000-BBD2K_Rep2-B-GM2_S14_L001","Dataset_1-GM_1662-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170712_M00281_0243_000000000-BBD2K","2",2,1662,,"B","Ch-121",121,"","Dataset_1-GM_1662-Locus_B","170712_M00281_0243_000000000-BBD2K_Rep2-B-GM2_S14_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-B-GM2_S14_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-B-GM2_S14_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-B-GM2_S14_L001_R1_001.fastq.gz","SRR6741818"
"170717_M00281_0245_000000000-BBYDN_Rep3-B-GM2_S14_L001","Dataset_1-GM_1662-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170717_M00281_0245_000000000-BBYDN","2",3,1662,,"B","Ch-121",121,"","Dataset_1-GM_1662-Locus_B","170717_M00281_0245_000000000-BBYDN_Rep3-B-GM2_S14_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-B-GM2_S14_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-B-GM2_S14_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-B-GM2_S14_L001_R1_001.fastq.gz","SRR6741817"
"170721_M00281_0248_000000000-BBWCL_Pooled-B-GM2_S14_L001","Dataset_1-GM_1662-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170721_M00281_0248_000000000-BBWCL","2",,1662,,"B","Ch-121",121,"","Dataset_1-GM_1662-Locus_B","170721_M00281_0248_000000000-BBWCL_Pooled-B-GM2_S14_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-B-GM2_S14_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-B-GM2_S14_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-B-GM2_S14_L001_R1_001.fastq.gz","SRR6741820"
"170710_M00281_0242_000000000-BBC66_Rep1-C-GM2_S26_L001","Dataset_1-GM_1662-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170710_M00281_0242_000000000-BBC66","2",1,1662,,"C","Ch-121",121,"","Dataset_1-GM_1662-Locus_C","170710_M00281_0242_000000000-BBC66_Rep1-C-GM2_S26_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-C-GM2_S26_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-C-GM2_S26_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-C-GM2_S26_L001_R1_001.fastq.gz","SRR6741815"
"170712_M00281_0243_000000000-BBD2K_Rep2-C-GM2_S26_L001","Dataset_1-GM_1662-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170712_M00281_0243_000000000-BBD2K","2",2,1662,,"C","Ch-121",121,"","Dataset_1-GM_1662-Locus_C","170712_M00281_0243_000000000-BBD2K_Rep2-C-GM2_S26_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-C-GM2_S26_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-C-GM2_S26_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-C-GM2_S26_L001_R1_001.fastq.gz","SRR6742334"
"170717_M00281_0245_000000000-BBYDN_Rep3-C-GM2_S26_L001","Dataset_1-GM_1662-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170717_M00281_0245_000000000-BBYDN","2",3,1662,,"C","Ch-121",121,"","Dataset_1-GM_1662-Locus_C","170717_M00281_0245_000000000-BBYDN_Rep3-C-GM2_S26_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-C-GM2_S26_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-C-GM2_S26_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-C-GM2_S26_L001_R1_001.fastq.gz","SRR6742331"
"170721_M00281_0248_000000000-BBWCL_Pooled-C-GM2_S26_L001","Dataset_1-GM_1662-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170721_M00281_0248_000000000-BBWCL","2",,1662,,"C","Ch-121",121,"","Dataset_1-GM_1662-Locus_C","170721_M00281_0248_000000000-BBWCL_Pooled-C-GM2_S26_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-C-GM2_S26_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-C-GM2_S26_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-C-GM2_S26_L001_R1_001.fastq.gz","SRR6741816"
"170710_M00281_0242_000000000-BBC66_Rep1-D-GM2_S38_L001","Dataset_1-GM_1662-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170710_M00281_0242_000000000-BBC66","2",1,1662,,"D","Ch-121",121,"","Dataset_1-GM_1662-Locus_D","170710_M00281_0242_000000000-BBC66_Rep1-D-GM2_S38_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-D-GM2_S38_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-D-GM2_S38_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-D-GM2_S38_L001_R1_001.fastq.gz","SRR6742174"
"170712_M00281_0243_000000000-BBD2K_Rep2-D-GM2_S38_L001","Dataset_1-GM_1662-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170712_M00281_0243_000000000-BBD2K","2",2,1662,,"D","Ch-121",121,"","Dataset_1-GM_1662-Locus_D","170712_M00281_0243_000000000-BBD2K_Rep2-D-GM2_S38_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-D-GM2_S38_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-D-GM2_S38_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-D-GM2_S38_L001_R1_001.fastq.gz","SRR6742171"
"170717_M00281_0245_000000000-BBYDN_Rep3-D-GM2_S38_L001","Dataset_1-GM_1662-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170717_M00281_0245_000000000-BBYDN","2",3,1662,,"D","Ch-121",121,"","Dataset_1-GM_1662-Locus_D","170717_M00281_0245_000000000-BBYDN_Rep3-D-GM2_S38_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-D-GM2_S38_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-D-GM2_S38_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-D-GM2_S38_L001_R1_001.fastq.gz","SRR6742172"
"170721_M00281_0248_000000000-BBWCL_Pooled-D-GM2_S38_L001","Dataset_1-GM_1662-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-11-22",1,"170721_M00281_0248_000000000-BBWCL","2",,1662,,"D","Ch-121",121,"","Dataset_1-GM_1662-Locus_D","170721_M00281_0248_000000000-BBWCL_Pooled-D-GM2_S38_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-D-GM2_S38_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-D-GM2_S38_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-D-GM2_S38_L001_R1_001.fastq.gz","SRR6742173"
"170710_M00281_0242_000000000-BBC66_Rep1-1-GM20_S152_L001","Dataset_1-GM_3978-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170710_M00281_0242_000000000-BBC66","20",1,3978,,"1","IMA",71,"Yes","Dataset_1-GM_3978-Locus_1","170710_M00281_0242_000000000-BBC66_Rep1-1-GM20_S152_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-1-GM20_S152_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-1-GM20_S152_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-1-GM20_S152_L001_R1_001.fastq.gz","SRR6741716"
"170712_M00281_0243_000000000-BBD2K_Rep2-1-GM20_S152_L001","Dataset_1-GM_3978-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170712_M00281_0243_000000000-BBD2K","20",2,3978,,"1","IMA",71,"Yes","Dataset_1-GM_3978-Locus_1","170712_M00281_0243_000000000-BBD2K_Rep2-1-GM20_S152_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-1-GM20_S152_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-1-GM20_S152_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-1-GM20_S152_L001_R1_001.fastq.gz","SRR6742344"
"170717_M00281_0245_000000000-BBYDN_Rep3-1-GM20_S152_L001","Dataset_1-GM_3978-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170717_M00281_0245_000000000-BBYDN","20",3,3978,,"1","IMA",71,"Yes","Dataset_1-GM_3978-Locus_1","170717_M00281_0245_000000000-BBYDN_Rep3-1-GM20_S152_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-1-GM20_S152_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-1-GM20_S152_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-1-GM20_S152_L001_R1_001.fastq.gz","SRR6742348"
"170721_M00281_0248_000000000-BBWCL_Pooled-1-GM20_S152_L001","Dataset_1-GM_3978-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170721_M00281_0248_000000000-BBWCL","20",,3978,,"1","IMA",71,"Yes","Dataset_1-GM_3978-Locus_1","170721_M00281_0248_000000000-BBWCL_Pooled-1-GM20_S152_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-1-GM20_S152_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-1-GM20_S152_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-1-GM20_S152_L001_R1_001.fastq.gz","SRR6741717"
"170710_M00281_0242_000000000-BBC66_Rep1-2-GM20_S164_L001","Dataset_1-GM_3978-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170710_M00281_0242_000000000-BBC66","20",1,3978,,"2","IMA",71,"Yes","Dataset_1-GM_3978-Locus_2","170710_M00281_0242_000000000-BBC66_Rep1-2-GM20_S164_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-2-GM20_S164_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-2-GM20_S164_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-2-GM20_S164_L001_R1_001.fastq.gz","SRR6742338"
"170712_M00281_0243_000000000-BBD2K_Rep2-2-GM20_S164_L001","Dataset_1-GM_3978-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170712_M00281_0243_000000000-BBD2K","20",2,3978,,"2","IMA",71,"Yes","Dataset_1-GM_3978-Locus_2","170712_M00281_0243_000000000-BBD2K_Rep2-2-GM20_S164_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-2-GM20_S164_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-2-GM20_S164_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-2-GM20_S164_L001_R1_001.fastq.gz","SRR6742323"
"170717_M00281_0245_000000000-BBYDN_Rep3-2-GM20_S164_L001","Dataset_1-GM_3978-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170717_M00281_0245_000000000-BBYDN","20",3,3978,,"2","IMA",71,"Yes","Dataset_1-GM_3978-Locus_2","170717_M00281_0245_000000000-BBYDN_Rep3-2-GM20_S164_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-2-GM20_S164_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-2-GM20_S164_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-2-GM20_S164_L001_R1_001.fastq.gz","SRR6742329"
"170721_M00281_0248_000000000-BBWCL_Pooled-2-GM20_S164_L001","Dataset_1-GM_3978-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170721_M00281_0248_000000000-BBWCL","20",,3978,,"2","IMA",71,"Yes","Dataset_1-GM_3978-Locus_2","170721_M00281_0248_000000000-BBWCL_Pooled-2-GM20_S164_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-2-GM20_S164_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-2-GM20_S164_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-2-GM20_S164_L001_R1_001.fastq.gz","SRR6742332"
"170710_M00281_0242_000000000-BBC66_Rep1-3-GM20_S176_L001","Dataset_1-GM_3978-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170710_M00281_0242_000000000-BBC66","20",1,3978,,"3","IMA",71,"Yes","Dataset_1-GM_3978-Locus_3","170710_M00281_0242_000000000-BBC66_Rep1-3-GM20_S176_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-3-GM20_S176_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-3-GM20_S176_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-3-GM20_S176_L001_R1_001.fastq.gz","SRR6742322"
"170712_M00281_0243_000000000-BBD2K_Rep2-3-GM20_S176_L001","Dataset_1-GM_3978-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170712_M00281_0243_000000000-BBD2K","20",2,3978,,"3","IMA",71,"Yes","Dataset_1-GM_3978-Locus_3","170712_M00281_0243_000000000-BBD2K_Rep2-3-GM20_S176_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-3-GM20_S176_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-3-GM20_S176_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-3-GM20_S176_L001_R1_001.fastq.gz","SRR6741973"
"170717_M00281_0245_000000000-BBYDN_Rep3-3-GM20_S176_L001","Dataset_1-GM_3978-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170717_M00281_0245_000000000-BBYDN","20",3,3978,,"3","IMA",71,"Yes","Dataset_1-GM_3978-Locus_3","170717_M00281_0245_000000000-BBYDN_Rep3-3-GM20_S176_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-3-GM20_S176_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-3-GM20_S176_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-3-GM20_S176_L001_R1_001.fastq.gz","SRR6741974"
"170721_M00281_0248_000000000-BBWCL_Pooled-3-GM20_S176_L001","Dataset_1-GM_3978-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170721_M00281_0248_000000000-BBWCL","20",,3978,,"3","IMA",71,"Yes","Dataset_1-GM_3978-Locus_3","170721_M00281_0248_000000000-BBWCL_Pooled-3-GM20_S176_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-3-GM20_S176_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-3-GM20_S176_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-3-GM20_S176_L001_R1_001.fastq.gz","SRR6742321"
"170710_M00281_0242_000000000-BBC66_Rep1-4-GM20_S188_L001","Dataset_1-GM_3978-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170710_M00281_0242_000000000-BBC66","20",1,3978,,"4","IMA",71,"Yes","Dataset_1-GM_3978-Locus_4","170710_M00281_0242_000000000-BBC66_Rep1-4-GM20_S188_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-4-GM20_S188_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-4-GM20_S188_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-4-GM20_S188_L001_R1_001.fastq.gz","SRR6742216"
"170712_M00281_0243_000000000-BBD2K_Rep2-4-GM20_S188_L001","Dataset_1-GM_3978-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170712_M00281_0243_000000000-BBD2K","20",2,3978,,"4","IMA",71,"Yes","Dataset_1-GM_3978-Locus_4","170712_M00281_0243_000000000-BBD2K_Rep2-4-GM20_S188_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-4-GM20_S188_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-4-GM20_S188_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-4-GM20_S188_L001_R1_001.fastq.gz","SRR6742217"
"170717_M00281_0245_000000000-BBYDN_Rep3-4-GM20_S188_L001","Dataset_1-GM_3978-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170717_M00281_0245_000000000-BBYDN","20",3,3978,,"4","IMA",71,"Yes","Dataset_1-GM_3978-Locus_4","170717_M00281_0245_000000000-BBYDN_Rep3-4-GM20_S188_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-4-GM20_S188_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-4-GM20_S188_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-4-GM20_S188_L001_R1_001.fastq.gz","SRR6742207"
"170721_M00281_0248_000000000-BBWCL_Pooled-4-GM20_S188_L001","Dataset_1-GM_3978-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170721_M00281_0248_000000000-BBWCL","20",,3978,,"4","IMA",71,"Yes","Dataset_1-GM_3978-Locus_4","170721_M00281_0248_000000000-BBWCL_Pooled-4-GM20_S188_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-4-GM20_S188_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-4-GM20_S188_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-4-GM20_S188_L001_R1_001.fastq.gz","SRR6742222"
"170710_M00281_0242_000000000-BBC66_Rep1-A-GM20_S104_L001","Dataset_1-GM_3978-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170710_M00281_0242_000000000-BBC66","20",1,3978,,"A","IMA",71,"Yes","Dataset_1-GM_3978-Locus_A","170710_M00281_0242_000000000-BBC66_Rep1-A-GM20_S104_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-A-GM20_S104_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-A-GM20_S104_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-A-GM20_S104_L001_R1_001.fastq.gz","SRR6741668"
"170712_M00281_0243_000000000-BBD2K_Rep2-A-GM20_S104_L001","Dataset_1-GM_3978-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170712_M00281_0243_000000000-BBD2K","20",2,3978,,"A","IMA",71,"Yes","Dataset_1-GM_3978-Locus_A","170712_M00281_0243_000000000-BBD2K_Rep2-A-GM20_S104_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-A-GM20_S104_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-A-GM20_S104_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-A-GM20_S104_L001_R1_001.fastq.gz","SRR6742221"
"170717_M00281_0245_000000000-BBYDN_Rep3-A-GM20_S104_L001","Dataset_1-GM_3978-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170717_M00281_0245_000000000-BBYDN","20",3,3978,,"A","IMA",71,"Yes","Dataset_1-GM_3978-Locus_A","170717_M00281_0245_000000000-BBYDN_Rep3-A-GM20_S104_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-A-GM20_S104_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-A-GM20_S104_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-A-GM20_S104_L001_R1_001.fastq.gz","SRR6742220"
"170721_M00281_0248_000000000-BBWCL_Pooled-A-GM20_S104_L001","Dataset_1-GM_3978-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2014-11-05",1,"170721_M00281_0248_000000000-BBWCL","20",,3978,,"A","IMA",71,"Yes","Dataset_1-GM_3978-Locus_A","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM20_S104_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM20_S104_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM20_S104_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-A-GM20_S104_L001_R1_001.fastq.gz","SRR6742223"
